correction_id,unit_id,source_location,severity,source_text,target_correction,rationale,status
O005-CORR-0001,O005-LEGA-V101-CH02,"record 27, model equation and periodic-boundary prose",P2,"The text states periodic boundary conditions but writes ordinary |i-j| in the interaction term.","The translation preserves the displayed source equation; the independent notebook explicitly uses circular distance and labels that implementation choice.","Ordinary distance is not periodic at the index seam; silently changing the translated equation would misrepresent the source.",documented_implementation_choice
O005-CORR-0002,O005-LEGA-V101-CH02,"record 27, enthusiasm prose versus h_i(t) equation",P2,"The prose suggests that neighbors' enthusiasm levels influence h_i(t), while the displayed sum counts only the binary condition x_j(t)>A.","The translation preserves both source surfaces; the notebook follows the written binary kernel and discloses that choice.","The source does not determine a magnitude-weighted alternative.",documented_implementation_choice
O005-CORR-0003,O005-LEGA-V101-CH02,"record 27, Test the model",P2,"The central numerical activity depends on The_Wave.m and a MATLAB GUI that are not present in the admitted editable closure.","A new open NumPy/Matplotlib notebook independently implements the stated pulse, thresholds, periodic lattice, and parameter experiments without importing proprietary code.","The reader otherwise could not perform the chapter's numerical modeling activity with the frozen lawful source closure.",resolved_by_open_reimplementation
O005-CORR-0004,O005-LEGA-V101-CH02,"record 27, discrete update description",P3,"Initial seeds, synchronous versus sequential updating, index orientation, reset/re-excitation behavior, and spectator-specific timing are not fully specified.","The notebook documents deterministic synchronous updates, fixed orientation, explicit seed/state initialization, and explicit reset/re-excitation conventions.","These are reproducibility choices, not claimed corrections to the source model.",documented_implementation_choice
O005-CORR-0005,O005-LEGA-V101-CH03,"record 38, Newton's-law prose before Equation 3.3",P2,"The prose says that acceleration equals the sum of the forces, omitting the mass factor present in the displayed equation.","The translation states that mass times acceleration equals the resultant force and preserves Equation 3.3.","Newton's second law is m times acceleration equals total force.",corrected_in_translation
O005-CORR-0006,O005-LEGA-V101-CH03,"record 38, Equation 3.13 domain",P2,"The scaled phase-plane equation pairs d theta/d tau with a domain statement written for d theta/d t.","The target domain statement consistently uses d theta/d tau.","The section has already changed to dimensionless time tau.",corrected_in_translation
O005-CORR-0007,O005-LEGA-V101-CH03,"record 38, energy intervals after Equation 3.13 and Figure 3.4 labels",P1,"The allowed interval is written with arccos(E), and the E=1 endpoint and broad E<1 figure label are grouped with closed orbits.","The target uses turning points based on arccos(-E), identifies E=1 as the separatrix, and labels closed orbits with the exact interval -1<E<1 in prose and both Figure 3.4 callouts.","Reality requires cos(theta) greater than or equal to -E; E=-1 is an equilibrium and E=1 is a separatrix, not a periodic closed orbit in the stated plane.",corrected_in_translation
O005-CORR-0008,O005-LEGA-V101-CH03,"record 38, direction field below Figure 3.2",P1,"The direction-field vector is stated as (1,-sin(theta)).","The target states (Lambda,-sin(theta)).","For d theta/d tau=Lambda and d Lambda/d tau=-sin(theta), these are the two vector-field components.",corrected_in_translation
O005-CORR-0009,O005-LEGA-V101-CH03,"record 38, general potential discussion and Problem 16",P2,"Fixed points are called extrema of V and every minimum/maximum is classified as a center/saddle without qualification.","The target requires V'(x0)=0 and qualifies the prose and Problem 16 classification for nondegenerate minima/maxima, with crossings considered where V' is nonzero.","Degenerate critical points and non-simple turning points need not have the asserted local phase portrait.",corrected_in_translation
O005-CORR-0010,O005-LEGA-V101-CH03,"record 38, damped energy argument after Equation 3.17",P2,"The prose infers convergence to E=-1 from d theta/d tau being nonzero and does not exclude saddle stable manifolds or equilibrium initial data.","The target states monotonic energy loss when velocity is nonzero, then gives the generic convergence claim for non-equilibrium trajectories outside saddle stable manifolds.","Pointwise vanishing velocity does not make energy globally constant, and damped saddles have exceptional stable trajectories.",corrected_in_translation
